cluster,Country
1,AFG
1,ALB
2,ARG
2,AUS
2,AUT
2,BEL
1,BEN
0,BFA
1,BGR
1,BLR
2,BOL
2,BRA
1,CAF
2,CAN
2,CHL
1,CIV
0,CMR
0,COD
0,COG
2,COL
2,CRI
1,CSK
1,CUB
0,CYP
2,DNK
2,DOM
2,ECU
1,EGY
2,ESP
1,ETH
0,FIN
2,FRA
0,GAB
2,GBR
1,GHA
1,GIN
2,GRC
2,GTM
2,HND
2,HTI
1,HUN
1,IDN
1,IND
0,IRL
2,IRN
1,IRQ
2,ISL
1,ISR
2,ITA
0,JOR
2,JPN
0,KHM
1,LAO
0,LBN
0,LBR
1,LBY
1,LKA
2,LUX
1,MAR
1,MDG
0,MEX
1,MLI
1,MMR
0,MYS
1,NER
1,NGA
2,NIC
2,NLD
2,NOR
1,NPL
2,NZL
2,PAK
2,PAN
2,PER
2,PHL
1,POL
2,PRT
2,PRY
1,ROU
1,RUS
1,SAU
1,SDN
0,SEN
2,SLV
1,SOM
0,SWE
1,TCD
1,TGO
2,THA
0,TUN
2,TUR
2,TWN
1,UKR
2,URY
2,USA
2,VEN
1,YUG
0,ZAF
